tint,yy
3.3367,-1.10159646625733
3.35340097799511,-1.34652485835591
3.37010195599022,-1.547969786469
3.38680293398533,-1.7090164127177
3.40350391198044,-1.83274989922308
3.42020488997555,-1.92225540810623
3.43690586797066,-1.98061810148823
3.45360684596577,-2.01092314149016
3.47030782396088,-2.01625569023311
3.48700880195599,-1.99970090983816
3.5037097799511,-1.96434396242639
3.52041075794621,-1.91327001011889
3.53711173594132,-1.84956421503673
3.55381271393643,-1.776311739301
3.57051369193154,-1.69659774503279
3.58721466992665,-1.61350739435318
3.60391564792176,-1.53012584938324
3.62061662591687,-1.44953827224407
3.63731760391198,-1.37482982505674
3.65401858190709,-1.30908566994234
3.6707195599022,-1.25539096902195
3.68742053789731,-1.21671343641662
3.70412151589242,-1.19386180787255
3.72082249388753,-1.18575003258086
3.73752347188264,-1.19122773246595
3.75422444987775,-1.20914452945219
3.77092542787286,-1.23835004546399
3.78762640586797,-1.27769390242572
3.80432738386308,-1.32602572226177
3.82102836185819,-1.38219512689655
3.8377293398533,-1.44505173825442
3.85443031784841,-1.51343280115353
3.87113129584352,-1.58538634947067
3.88783227383863,-1.65770957444318
3.90453325183374,-1.72708878037967
3.92123422982885,-1.79021027158875
3.93793520782396,-1.84376035237904
3.95463618581907,-1.88442532705916
3.97133716381418,-1.90889149993772
3.98803814180929,-1.91384517532333
4.0047391198044,-1.89597265752461
4.02144009779951,-1.85196202021627
4.03814107579462,-1.78084928590081
4.05484205378973,-1.68864708765174
4.07154303178484,-1.58265792643669
4.08824400977995,-1.47018430322326
4.10494498777506,-1.35852871897907
4.12164596577017,-1.25499367467173
4.13834694376528,-1.16688167126884
4.15504792176039,-1.10149520973801
4.1717488997555,-1.06613679104686
4.18844987775061,-1.06810891616299
4.20515085574572,-1.11283141749266
4.22185183374083,-1.19473000170334
4.23855281173594,-1.30425097398442
4.25525378973105,-1.43183515069568
4.27195476772616,-1.56792334819687
4.28865574572127,-1.70295638284775
4.30535672371638,-1.8273750710081
4.32205770171149,-1.93162022903767
4.3387586797066,-2.00613267329624
4.35545965770171,-2.04135322014356
4.37216063569682,-2.02861096450115
4.38886161369193,-1.97021173077303
4.40556259168704,-1.87586474288265
4.42226356968215,-1.75541790456537
4.43896454767726,-1.61871911955652
4.45566552567237,-1.47561629159146
4.47236650366748,-1.33595732440549
4.48906748166259,-1.209590121734
4.5057684596577,-1.1063625873123
4.52246943765281,-1.03612262487574
4.53917041564792,-1.00848738396332
4.55587139364303,-1.02529887053209
4.57257237163814,-1.07894070476528
4.58927334963325,-1.16122504616895
4.60597432762836,-1.26396405424915
4.62267530562347,-1.37896988851192
4.63937628361858,-1.49805470846333
4.65607726161369,-1.61303067360941
4.6727782396088,-1.71570994345622
4.68947921760391,-1.79790467750981
4.70618019559902,-1.85144448474395
4.72288117359413,-1.8718582612893
4.73958215158924,-1.86292850150868
4.75628312958435,-1.82955446569903
4.77298410757946,-1.77663541415731
4.78968508557457,-1.70907060718048
4.80638606356968,-1.63175930506548
4.82308704156479,-1.54960076810928
4.8397880195599,-1.46749425660883
4.85648899755501,-1.39033903086109
4.87318997555012,-1.32303435116301
4.88989095354523,-1.269666258941
4.90659193154034,-1.23081447727506
4.92329290953545,-1.20611392901423
4.93999388753056,-1.19519952329828
4.95669486552567,-1.19770616926698
4.97339584352078,-1.21326877606012
4.99009682151589,-1.24152225281748
5.006797799511,-1.28210150867882
5.02349877750611,-1.33464145278393
5.04019975550122,-1.39877699427258
5.05690073349633,-1.47384863315448
5.07360171149144,-1.55663441960352
5.09030268948655,-1.64259301472919
5.10700366748166,-1.72717217559913
5.12370464547677,-1.80581965928098
5.14040562347188,-1.87398322284237
5.15710660146699,-1.92711062335094
5.1738075794621,-1.96064961787434
5.19050855745721,-1.97004796348018
5.20720953545232,-1.95075341723613
5.22391051344743,-1.8985172810387
5.24061149144254,-1.81531636095963
5.25731246943765,-1.70895984375185
5.27401344743276,-1.58748173141303
5.29071442542787,-1.45891602594082
5.30741540342298,-1.33129672933288
5.32411638141809,-1.21265784358688
5.3408173594132,-1.11103337070048
5.35751833740831,-1.03445731267133
5.37421931540342,-0.990963671497098
5.39092029339853,-0.988510539799018
5.40762127139364,-1.02918287362974
5.42432224938875,-1.10511025489669
5.44102322738386,-1.20745793528085
5.45772420537897,-1.32739116646322
5.47442518337408,-1.45607520012479
5.49112616136919,-1.58467528794655
5.5078271393643,-1.70435668160947
5.52452811735941,-1.80628463279457
5.54122909535452,-1.88162439318282
5.55793007334963,-1.92154233714341
5.57463105134474,-1.92050633236183
5.59133202933985,-1.88354254680916
5.60803300733496,-1.8177833530806
5.62473398533007,-1.73036112377137
5.64143496332518,-1.62840823147666
5.65813594132029,-1.51905704879169
5.6748369193154,-1.40943994831166
5.69153789731051,-1.30668930263178
5.70823887530562,-1.21793748434726
5.72493985330073,-1.15031686605329
5.74164083129584,-1.10989077114898
5.75834180929095,-1.0959768291337
5.77504278728606,-1.10526867922474
5.79174376528117,-1.13445408554711
5.80844474327628,-1.18022081222582
5.82514572127139,-1.23925662338588
5.8418466992665,-1.30824928315229
5.85854767726161,-1.38388655565006
5.87524865525672,-1.46285620500422
5.89194963325183,-1.54184599533976
5.90865061124694,-1.6176134305986
5.92535158924205,-1.68786280247699
5.94205256723716,-1.75098073703976
5.95875354523227,-1.80536892415223
5.97545452322738,-1.84942905367969
5.99215550122249,-1.88156281548745
6.0088564792176,-1.90017189944081
6.02555745721271,-1.90365799540507
6.04225843520782,-1.89042279324554
6.05895941320293,-1.85886798282751
